date;hour;value;lat;lon;height
"2020-01-29";"03:00";7.13;50.75;20.6;1250
"2020-01-29";"03:00";7.58;51.25;20.6;1250
"2020-01-29";"03:00";10.98;51.75;20.6;1250
"2020-01-29";"03:00";21.31;52.25;20.6;1250
"2020-01-29";"03:00";19.77;52.75;20.6;1250
"2020-01-29";"03:00";13.01;53.25;20.6;1250
"2020-01-29";"03:00";26.58;53.75;20.6;1250
"2020-01-29";"03:00";34.98;54.25;20.6;1250
"2020-01-29";"03:00";42.15;54.75;20.6;1250
"2020-01-29";"03:00";13.99;49.25;21.4;1250
"2020-01-29";"03:00";11.65;49.75;21.4;1250
"2020-01-29";"03:00";9.48;50.25;21.4;1250
"2020-01-29";"03:00";5.76;50.75;21.4;1250
"2020-01-29";"03:00";8.65;51.25;21.4;1250
"2020-01-29";"03:00";10.46;51.75;21.4;1250
"2020-01-29";"03:00";24.08;52.25;21.4;1250
"2020-01-29";"03:00";19.19;52.75;21.4;1250
"2020-01-29";"03:00";14.68;53.25;21.4;1250
"2020-01-29";"03:00";29.8;53.75;21.4;1250
"2020-01-29";"03:00";34.32;54.25;21.4;1250
"2020-01-29";"03:00";39.02;54.75;21.4;1250
"2020-01-29";"03:00";13.17;49.25;22.2;1250
"2020-01-29";"03:00";11.86;49.75;22.2;1250
"2020-01-29";"03:00";9.69;50.25;22.2;1250
"2020-01-29";"03:00";7.08;50.75;22.2;1250
"2020-01-29";"03:00";10.27;51.25;22.2;1250
"2020-01-29";"03:00";11.71;51.75;22.2;1250
"2020-01-29";"03:00";28.78;52.25;22.2;1250
"2020-01-29";"03:00";14.7;52.75;22.2;1250
"2020-01-29";"03:00";16.4;53.25;22.2;1250
"2020-01-29";"03:00";27.58;53.75;22.2;1250
"2020-01-29";"03:00";8.67;54.25;22.2;1250
"2020-01-29";"03:00";36.67;54.75;22.2;1250
"2020-01-29";"03:00";12.23;49.25;23;1250
"2020-01-29";"03:00";11.97;49.75;23;1250
"2020-01-29";"03:00";6.94;50.25;23;1250
"2020-01-29";"03:00";5.81;50.75;23;1250
"2020-01-29";"03:00";10.79;51.25;23;1250
"2020-01-29";"03:00";17.37;51.75;23;1250
"2020-01-29";"03:00";14.17;52.25;23;1250
"2020-01-29";"03:00";11.48;52.75;23;1250
"2020-01-29";"03:00";18.15;53.25;23;1250
"2020-01-29";"03:00";29.69;53.75;23;1250
"2020-01-29";"03:00";28.74;54.25;23;1250
"2020-01-29";"03:00";34.13;54.75;23;1250
"2020-01-29";"03:00";3.95;49.25;14.2;1750
"2020-01-29";"03:00";3.2;49.75;14.2;1750
"2020-01-29";"03:00";3.53;50.25;14.2;1750
"2020-01-29";"03:00";4.28;50.75;14.2;1750
"2020-01-29";"03:00";4.1;51.25;14.2;1750
"2020-01-29";"03:00";2.69;51.75;14.2;1750
"2020-01-29";"03:00";7.68;52.25;14.2;1750
"2020-01-29";"03:00";22.41;52.75;14.2;1750
"2020-01-29";"03:00";10.07;53.25;14.2;1750
"2020-01-29";"03:00";11.92;53.75;14.2;1750
"2020-01-29";"03:00";26.78;54.25;14.2;1750
"2020-01-29";"03:00";29.96;54.75;14.2;1750
"2020-01-29";"03:00";3.21;49.25;15;1750
"2020-01-29";"03:00";3.78;49.75;15;1750
"2020-01-29";"03:00";4.12;50.25;15;1750
"2020-01-29";"03:00";4.65;50.75;15;1750
"2020-01-29";"03:00";3.84;51.25;15;1750
"2020-01-29";"03:00";1.66;51.75;15;1750
"2020-01-29";"03:00";11.5;52.25;15;1750
"2020-01-29";"03:00";23.46;52.75;15;1750
"2020-01-29";"03:00";11.55;53.25;15;1750
"2020-01-29";"03:00";11.13;53.75;15;1750
"2020-01-29";"03:00";26.89;54.25;15;1750
"2020-01-29";"03:00";34.49;54.75;15;1750
"2020-01-29";"03:00";3.31;49.25;15.8;1750
"2020-01-29";"03:00";4.52;49.75;15.8;1750
"2020-01-29";"03:00";4.9;50.25;15.8;1750
"2020-01-29";"03:00";5.2;50.75;15.8;1750
"2020-01-29";"03:00";3.52;51.25;15.8;1750
"2020-01-29";"03:00";1.48;51.75;15.8;1750
"2020-01-29";"03:00";13.74;52.25;15.8;1750
"2020-01-29";"03:00";21.09;52.75;15.8;1750
"2020-01-29";"03:00";11.38;53.25;15.8;1750
"2020-01-29";"03:00";13.19;53.75;15.8;1750
"2020-01-29";"03:00";29.1;54.25;15.8;1750
"2020-01-29";"03:00";35.15;54.75;15.8;1750
"2020-01-29";"03:00";4.24;49.25;16.6;1750
"2020-01-29";"03:00";5.1;49.75;16.6;1750
"2020-01-29";"03:00";5.31;50.25;16.6;1750
"2020-01-29";"03:00";4.62;50.75;16.6;1750
"2020-01-29";"03:00";2.7;51.25;16.6;1750
"2020-01-29";"03:00";1.9;51.75;16.6;1750
"2020-01-29";"03:00";19.48;52.25;16.6;1750
"2020-01-29";"03:00";17.92;52.75;16.6;1750
"2020-01-29";"03:00";11.7;53.25;16.6;1750
"2020-01-29";"03:00";19.86;53.75;16.6;1750
"2020-01-29";"03:00";31.25;54.25;16.6;1750
"2020-01-29";"03:00";33.89;54.75;16.6;1750
"2020-01-29";"03:00";5.15;49.25;17.4;1750
"2020-01-29";"03:00";5.95;49.75;17.4;1750
"2020-01-29";"03:00";5.4;50.25;17.4;1750
"2020-01-29";"03:00";3.94;50.75;17.4;1750
"2020-01-29";"03:00";1.72;51.25;17.4;1750
"2020-01-29";"03:00";3.75;51.75;17.4;1750
"2020-01-29";"03:00";23.02;52.25;17.4;1750
"2020-01-29";"03:00";15.95;52.75;17.4;1750
"2020-01-29";"03:00";11.64;53.25;17.4;1750
"2020-01-29";"03:00";25.11;53.75;17.4;1750
"2020-01-29";"03:00";30.59;54.25;17.4;1750
"2020-01-29";"03:00";31.47;54.75;17.4;1750
"2020-01-29";"03:00";5.64;49.25;18.2;1750
"2020-01-29";"03:00";6.27;49.75;18.2;1750
"2020-01-29";"03:00";5.15;50.25;18.2;1750
"2020-01-29";"03:00";3.35;50.75;18.2;1750
"2020-01-29";"03:00";1.37;51.25;18.2;1750
"2020-01-29";"03:00";7.81;51.75;18.2;1750
"2020-01-29";"03:00";21.88;52.25;18.2;1750
"2020-01-29";"03:00";16.26;52.75;18.2;1750
"2020-01-29";"03:00";15.84;53.25;18.2;1750
"2020-01-29";"03:00";29.54;53.75;18.2;1750
"2020-01-29";"03:00";29.05;54.25;18.2;1750
"2020-01-29";"03:00";28.57;54.75;18.2;1750
"2020-01-29";"03:00";6.17;49.25;19;1750
"2020-01-29";"03:00";6.58;49.75;19;1750
"2020-01-29";"03:00";4.72;50.25;19;1750
"2020-01-29";"03:00";2.72;50.75;19;1750
"2020-01-29";"03:00";2.29;51.25;19;1750
"2020-01-29";"03:00";11.74;51.75;19;1750
"2020-01-29";"03:00";22.8;52.25;19;1750
"2020-01-29";"03:00";15.66;52.75;19;1750
"2020-01-29";"03:00";18.08;53.25;19;1750
"2020-01-29";"03:00";27.96;53.75;19;1750
"2020-01-29";"03:00";28.05;54.25;19;1750
"2020-01-29";"03:00";27.29;54.75;19;1750
